Timestamp,Username,Physics,Additional subject (chemistry/maths),Exercise,Wake up,Screen control
12/01/2025 22:41:00,Zenx,Done,Done,Not done,Done,Done
12/28/2025 13:32:00,Zenx,Done,Done,Not done,Done,Done
12/09/2025 17:37:00,Zenx,Not done,Not done,Done,Not done,Done
12/06/2025 22:36:00,Zenx,Done,Not done,Done,Not done,Done
12/17/2025 18:52:00,Zenx,Not done,Done,Not done,Done,Done
12/17/2025 14:57:00,Zenx,Done,Not done,Done,Not done,Not done
12/29/2025 09:47:00,Zenx,Done,Not done,Done,Not done,Done
12/21/2025 12:19:00,Zenx,Done,Not done,Not done,Done,Done
12/10/2025 20:24:00,Zenx,Not done,Done,Done,Done,Done
12/23/2025 08:13:00,Zenx,Done,Not done,Done,Not done,Done
12/17/2025 21:35:00,Zenx,Done,Not done,Done,Done,Done
12/21/2025 11:19:00,Zenx,Done,Done,Not done,Done,Done
12/14/2025 11:55:00,Zenx,Done,Not done,Done,Not done,Done
12/10/2025 12:37:00,Zenx,Done,Done,Done,Not done,Done
12/26/2025 12:38:00,Zenx,Done,Done,Not done,Done,Not done
12/18/2025 09:29:00,Zenx,Not done,Done,Not done,Done,Not done
12/22/2025 12:13:00,Zenx,Not done,Not done,Not done,Done,Not done
12/01/2025 16:50:00,Zenx,Not done,Done,Done,Not done,Done
12/16/2025 09:57:00,Zenx,Not done,Done,Not done,Done,Done
12/16/2025 08:40:00,Zenx,Not done,Not done,Done,Not done,Done
12/16/2025 20:31:00,Zenx,Done,Done,Done,Done,Not done
12/24/2025 22:34:00,Zenx,Not done,Not done,Done,Done,Done
12/28/2025 17:16:00,Zenx,Done,Not done,Done,Done,Not done
12/25/2025 16:42:00,Zenx,Done,Done,Not done,Not done,Not done
12/13/2025 13:25:00,Zenx,Not done,Done,Not done,Not done,Done
12/02/2025 13:10:00,Zenx,Done,Not done,Not done,Done,Not done
12/07/2025 10:09:00,Zenx,Done,Not done,Done,Not done,Not done
12/20/2025 10:55:00,Kritarth,Done,Not done,Done,Not done,Not done
12/11/2025 11:22:00,Kritarth,Not done,Not done,Done,Done,Not done
12/29/2025 12:42:00,Kritarth,Not done,Not done,Not done,Done,Done
12/25/2025 16:15:00,Kritarth,Not done,Not done,Done,Not done,Done
12/01/2025 21:26:00,Kritarth,Done,Not done,Done,Not done,Done
